CONTRA,RED
560,529
586,529
692,529
379,530
635,530
669,530
427,531
725,531
734,531
738,531
299,532
342,532
452,532
501,532
629,532
678,532
681,532
750,532
399,533
417,533
429,533
466,533
579,533
606,533
614,533
671,533
718,533
753,533
768,533
396,534
445,534
511,534
530,534
593,534
759,534
433,535
582,535
285,536
289,536
303,536
370,536
522,536
551,536
693,536
710,536
409,537
421,537
493,537
620,537
665,537
478,538
499,538
547,538
561,538
642,538
657,538
379,539
502,539
541,539
767,539
297,540
324,540
459,540
518,540
529,540
634,540
673,540
688,540
729,540
484,541
691,541
340,542
347,542
397,542
557,542
561,542
584,542
609,542
742,542
383,543
432,543
446,543
493,543
667,543
771,543
268,544
279,544
317,544
353,544
360,544
513,544
573,544
605,544
663,544
716,544
779,544
308,545
530,545
556,545
679,545
700,545
760,545
293,546
298,546
605,546
706,546
734,546
790,546
276,547
399,547
404,547
427,547
475,547
499,547
564,547
619,547
724,547
531,548
536,548
676,548
333,549
393,549
512,549
552,549
575,549
255,550
268,550
493,550
559,550
638,550
665,550
415,551
608,551
634,551
694,551
718,551
740,551
282,552
461,552
539,552
570,552
602,552
620,552
626,552
647,552
670,552
247,553
349,553
365,553
400,553
477,553
513,553
596,553
261,554
342,554
370,554
442,554
521,554
545,554
584,554
226,555
254,555
296,555
317,555
492,555
499,555
707,555
747,555
765,555
794,555
426,556
506,556
591,556
246,557
276,557
312,557
322,557
463,557
695,557
714,557
723,557
754,558
776,558
339,559
361,559
391,559
547,559
558,559
643,559
673,559
689,559
732,559
219,560
238,560
376,560
424,560
512,560
665,560
736,560
760,560
797,560
316,561
322,561
406,561
419,561
429,561
509,561
585,561
609,561
660,561
697,561
298,562
309,562
540,562
713,562
725,562
742,562
284,563
349,563
436,563
466,563
563,563
579,563
593,563
617,563
731,563
234,564
258,564
425,564
570,564
680,564
786,564
325,565
383,565
474,565
558,565
802,565
238,566
317,566
398,566
484,566
545,566
698,566
727,566
770,566
307,567
358,567
268,568
293,568
537,568
588,568
642,568
680,568
683,568
703,568
206,569
215,569
353,569
371,569
461,569
469,569
575,569
624,569
630,569
792,569
223,570
456,570
528,570
579,570
689,570
712,570
249,571
325,571
417,571
421,571
494,571
598,571
653,571
660,571
760,571
282,572
351,572
405,572
409,572
612,572
731,572
234,573
307,573
528,573
536,573
562,573
574,573
797,573
279,574
417,574
433,574
466,574
499,574
516,574
725,574
275,575
288,575
375,575
459,575
623,575
633,575
694,575
719,575
206,576
366,576
486,576
509,576
535,576
546,576
673,576
778,576
793,576
193,577
255,577
406,577
528,577
553,577
579,577
678,577
715,577
741,577
760,577
764,577
333,578
634,578
707,578
816,578
230,579
369,579
447,579
615,579
731,579
352,580
382,580
419,580
434,580
452,580
545,580
597,580
769,580
303,581
310,581
360,581
393,581
506,581
643,581
664,581
775,581
805,581
495,582
590,582
703,582
707,582
725,582
274,583
294,583
298,583
651,583
680,583
250,584
352,584
390,584
410,584
428,584
509,584
532,584
694,584
711,584
317,585
393,585
402,585
486,585
502,585
629,585
660,585
798,585
267,586
449,586
699,586
223,587
526,587
557,587
578,587
620,587
757,587
767,587
239,588
337,588
347,588
569,588
592,588
724,588
792,588
801,588
287,589
374,589
418,589
553,589
607,589
619,589
638,589
731,589
677,590
472,591
548,591
559,591
259,592
358,592
382,592
505,592
251,593
421,593
532,593
541,593
591,593
368,594
409,594
444,594
621,594
627,594
643,594
